link,aside-content
https://naruto.fandom.com/ru/wiki/%22%D0%92%D0%BE%D0%B9%D0%BD%D0%B0%22_%D0%9E%D0%BC%D0%BE%D0%B8!!,"Информация по главе Том Великая Война Грядёт! (#55) Предыдущая глава "" Речь Гаары "" Глава Наруто #517 Следующая глава "" Нападение/Защита Дивизии Внезапного Нападения!! "" Арка Четвёртая Мировая Война Шиноби: Конфронтация Аниме Наруто: Шиппууден Эпизод 262 Персонажи Даймё Мороза Даймё Горячих Источников Техники Стиль Облака Обезглавливание Полумесяца Стихия Земли: Сдвиг Земного Ядра Техника Глушения Насекомыми "
https://naruto.fandom.com/ru/wiki/%22%D0%9C%D0%B0%D1%82%D1%8C%22_%D0%B8_%22%D0%9E%D1%82%D0%B5%D1%86%22,"Появления Манга Наруто Том 30 , Глава 267 Аниме Наруто: Шиппууден Эпизод 22 Игра Naruto Shippūden: Ultimate Ninja 5 Появления в Аниме, Манга, Игра Пользователи Сасори Чиё Канкуро (Только в аниме) "
https://naruto.fandom.com/ru/wiki/-,
https://naruto.fandom.com/ru/wiki/100%25_%D0%A3%D0%B4%D0%B0%D1%80,Появления Игра Naruto: Path of the Ninja 2 Появления в Игра Информация Классификация Тайдзюцу Класс Нападение Дальность Короткие расстояния (0-5 м) Родственные техники Основное Усиленная Чакрой Мощь Производное Часть Легенды Пользователи Цунаде 
https://naruto.fandom.com/ru/wiki/100-%D0%BC%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D1%8B%D0%B9_%D0%A3%D0%B4%D0%B0%D1%80,Появления Игра Naruto Shippūden: Ultimate Ninja Heroes 3 Появления в Игра Информация Классификация Тайдзюцу Класс Нападение Родственные техники Основное Усиленная Чакрой Мощь Производное 1000-метровый Удар Ярость Небес Пользователи Цунаде Сакура Харуно 
https://naruto.fandom.com/ru/wiki/1000-%D0%BC%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D1%8B%D0%B9_%D0%A3%D0%B4%D0%B0%D1%80,Появления Игра Naruto: Ultimate Ninja 2 Появления в Игра Информация Классификация Тайдзюцу Класс Нападение Родственные техники Основное 100-метровый Удар Производное Ярость Небес Пользователи Сакура Харуно Цунаде 
https://naruto.fandom.com/ru/wiki/10_%D0%9A%D0%BE%D0%BC%D0%B1%D0%BE-%D0%A3%D0%B4%D0%B0%D1%80%D0%BE%D0%B2,Появления Игра Naruto Shippūden: Ultimate Ninja Storm 2 Появления в Игра Информация Классификация Тайдзюцу Элемент Стихия Молнии Класс Нападение Дальность Короткие дистанции (0-5 м) Пользователи Ларс Александерссон 
https://naruto.fandom.com/ru/wiki/16_%D0%9A%D0%BE%D0%BC%D0%B1%D0%BE-%D0%A3%D0%B4%D0%B0%D1%80%D0%BE%D0%B2,Появления Игра Naruto: Ultimate Ninja 2 Появления в Игра Информация Классификация Тайдзюцу Класс Нападение Дальность Короткие дистанции (0-5 м) Пользователи Ино Яманака 
https://naruto.fandom.com/ru/wiki/360_%D0%93%D1%80%D0%B0%D0%B4%D1%83%D1%81%D0%BE%D0%B2_%D0%9E%D0%B1%D0%B7%D0%BE%D1%80%D0%B0:_%D0%A1%D0%BB%D0%B5%D0%BF%D0%BE%D0%B5_%D0%9F%D1%8F%D1%82%D0%BD%D0%BE_%D0%91%D1%8C%D1%8F%D0%BA%D1%83%D0%B3%D0%B0%D0%BD%D0%B0,"Информация Предыдущий эпизод Твой Противник — Я! Эпизод Наруто #116 Следующий эпизод Проигрыш — Не Вариант! Арка Миссия по Возвращению Саске Манга Наруто Глава 194 Наруто Глава 195 Музыка Опенинг "" Seishun Kyōsōkyoku "" Эндинг "" Hajimete Kimi to Shabetta "" Трансляции Японская 5 января 2005 Персонажи Кьёдайгумо Техники Доспехи Липкого Золота Восемь Триграмм Сто Двадцать Восемь Ладоней Паучий Дождь Паучий Лук Войны: Ужасный Раскол "
https://naruto.fandom.com/ru/wiki/ALIVE,Информация Группа Raiko Номер Эндинга 4 Начальный Эпизод Эпизод 65 Конечный Эпизод Эпизод 77 Навигация Эндингов ← Предыдущий Следующий → Viva★Rock~Japanese Side~ Ima Made Nando Mo Музыка 
